id,name,short_title,title,is_ordered,is_system,is_hidden,trend_by,is_signed,has_percent,type,precision,is_linked
1866,SECID,Код инструмента,Идентификатор финансового инструмента,1,0,0,,0,0,string,,0
1865,BOARDID,Код режима,Идентификатор режима торгов,0,0,0,,0,0,string,,0
1842,SHORTNAME,Кратк. наим.,Краткое наименование ценной бумаги,1,0,0,,0,0,string,,1
1853,PREVPRICE,Последняя предыдущего дня,Цена последней сделки нормального периода предыдущего торгового дня,0,0,1,,0,0,number,,0
1848,LOTSIZE,Размер лота,Количество ценных бумаг в одном стандартном лоте,0,0,0,,0,0,number,0.0,0
1850,FACEVALUE,Номинал,"Номинальная стоимость одной ценной бумаги, в валюте инструмента",0,0,0,,0,0,number,,0
1843,STATUS,Статус,"Индикатор ""торговые операции разрешены/запрещены""",0,0,0,,0,0,string,,0
855,BOARDNAME,Режим торгов,Режим торгов,1,0,0,,0,0,string,,0
1854,DECIMALS,Точность,"Точность, знаков после запятой",0,0,1,,0,0,number,0.0,0
1840,SECNAME,Наименование,Наименование финансового инструмента,0,0,1,,0,0,string,,0
1841,REMARKS,Примечание,Примечание,0,0,1,,0,0,string,,0
1845,MARKETCODE,Рынок,Идентификатор рынка на котором торгуется финансовый инструмент,0,0,1,,0,0,string,,0
1846,INSTRID,Группа инструментов,Группа инструментов,0,0,0,,0,0,string,,0
1847,SECTORID,Сектор,Сектор (Устарело),0,0,0,,0,0,string,,0
1849,MINSTEP,Мин. шаг цены,"Минимально возможная разница между ценами, указанными в заявках на покупку/продажу ценных бумаг",0,0,1,,0,0,number,,0
1856,PREVWAPRICE,Оценка пред. дня,Значение оценки (WAPRICE) предыдущего торгового дня,0,0,1,,0,0,number,,0
1851,FACEUNIT,Валюта номинала,"Код валюты, в которой выражен номинал ценной бумаги",0,0,1,,0,0,string,,0
1852,PREVDATE,Дата последних торгов,Дата предыдущего торгового дня,0,0,1,,0,0,date,,0
1855,ISSUESIZE,Объем выпуска,Объем выпуска,0,0,1,,0,0,number,0.0,0
1859,ISIN,ISIN,Международный идентификационный код ценной бумаги,0,0,1,,0,0,string,,0
1860,LATNAME,Англ. наименование,Наименование финансового инструмента на английском языке,0,0,1,,0,0,string,,0
1861,REGNUMBER,Регистрационный номер,Номер государственной регистрации,0,0,1,,0,0,string,,0
1862,PREVLEGALCLOSEPRICE,Цена закрытия предыдущего дня,"Официальная цена закрытия предыдущего дня, рассчитываемая по методике ФСФР",0,0,1,,0,0,number,,0
1857,CURRENCYID,Валюта,Валюта расчетов,0,0,1,,0,0,string,,0
1864,SECTYPE,Тип ценной бумаги,Тип ценной бумаги,0,0,1,,0,0,string,,0
4286,LISTLEVEL,Уровень листинга,Уровень листинга,0,0,0,,0,0,number,0.0,0
5479,SETTLEDATE,Дата расчетов,Дата расчетов сделки,0,0,0,,0,0,date,,0
