,Name,ID,Capitalization,Income,P/E ratio
0,"ПАО ""Артген""",ABIO,9281221281.18,0.245,37.882535841551025
1,Абрау-Дюрсо ПАО ао,ABRD,28028052624.0,1.08,25.951900577777774
2,Аэрофлот-росс.авиалин(ПАО)ао,AFLT,231111580727.95,10.3,22.43801754640291
3,Акрон ПАО ао,AKRN,598774071240.0,35.7,16.772382947899157
4,АЛРОСА ПАО ао,ALRS,589565498681.5,85.1,6.927914203072856
5,Ашинский метзавод ПАО ао,AMEZ,31462468364.64,9.61,3.2739301107845993
6,ПАО ИНАРКТИКА,AQUA,76804191226.0,9.2,8.348281655000001
7,УК Арсагера ПАО-ао,ARSA,1895640796.15,0.11,17.233098146818183
8,"""Астраханская ЭСК"" ПАО",ASSB,2190137220.74,0.063,34.764082868888885
9,Группа Астра ао,ASTR,128520000000.0,3.54,36.30508474576271
10,Башнефть АНК ао,BANE,451153561183.5,177.4,2.5431429604481397
11,НоваБев Групп ПАО ао,BELU,88906600000.0,8.06,11.030595533498758
12,Белон ОАО ао,BLNG,30762500000.0,0.078,394.39102564102564
13,"ПАО ""Банк ""Санкт-Петербург"" ао",BSPB,170248905706.6,47.8,3.5616925880041843
14,СТГ ао,CARM,4690890210.83,0.647,7.250216709165379
15,"""МКБ"" ПАО ао",CBOM,240025316837.88,59.8,4.013801284914382
16,"""ЧКПЗ"" ПАО ао",CHKZ,17346242400.0,2.34,7.412924102564103
17,Северсталь (ПАО)ао,CHMF,1667730308328.0,193.9,8.6009814766787
18,"""ЧМК"" ПАО ао",CHMK,24568468050.0,1.62,15.165721018518518
19,Каршеринг Руссия ао,DELI,56227735975.75,1.93,29.133541956347152
20,Диасофт ао,DIAS,63005250000.0,1.84,34.24198369565217
21,"""ДЭК"" ПАО ао",DVEC,53701650132.87,3.27,16.422522976412846
22,"""ЕвропЭлектротехника"" ПАО ао",EELT,10672063420.0,0.671,15.904714485842026
23,"""ЭЛ5-Энерго"" ПАО",ELFV,21003833252.11,4.62,4.546284253703464
24,МКПАО ЭН+ ГРУП ао,ENPG,285533514067.2,50.8,5.620738465889765
25,ЕвроТранс ао,EUTR,35402620529.25,5.15,6.874295248398058
26,"""ФСК - Россети"" ПАО",FEES,242371604437.38,161.3,1.5026137906843149
27,ДВ морское пароходство ПАО ао,FESH,228456262500.0,37.7,6.059847811671087
28,Совкомфлот ао,FLOT,315399190052.8,83.5,3.777235809015569
29,"""Газпром"" (ПАО) ао",GAZP,3156626210086.0,695.6,4.537990526288096
30,Группа Черкизово ПАО-ао,GCHE,202159137096.0,27.4,7.378070696934307
31,ПАО ММЦБ ао,GEMA,2618707968.0,0.126,20.783396571428568
32,Юнайтед Медикал Груп ПАО,GEMC,71982000000.0,9.49,7.585036880927292
33,"ГМК ""Нор.Никель"" ПАО ао",GMKN,2339421427688.0,210.7,11.103091730840058
34,ХЭНДЕРСОН ао,HNFG,29649822629.5,2.47,12.003976773076921
35,"ПАО ""РусГидро""",HYDR,310866091211.86,78.6,3.9550393283951655
36,Ижсталь ПАО ао 2в.,IGST,8679902360.0,3.35,2.5910156298507463
37,ИНГРАД ПАО ао,INGR,73331790747.0,0.28,261.8992526678571
38,"""Интер РАО"" ПАО ао",IRAO,449859600000.0,135.9,3.310225165562914
39,Славнефть-ЯНОС (ПАО) ао,JNOS,22616877032.75,8.0,2.82710962909375
40,Куйбышевазот ПАО ао,KAZT,142081005793.2,12.5,11.366480463456002
41,Камчатскэнерго ПАО ао,KCHE,39115549016.06,3.98,9.828027390969849
42,Курганская генер.комп.ПАО ао,KGKC,6392067793.2,0.54,11.837162579999998
43,"ао""Калужская сбыт.комп.""ПАО",KLSB,2659537177.29,0.109,24.399423644862384
44,КАМАЗ ПАО,KMAZ,119946133206.4,16.2,7.4040822966913575
45,Саратовский НПЗ ПАО ао,KRKN,9200547600.0,0.6,15.334246
46,"""КрасныйОктябрь"" ПАО - ао",KROT,24675469691.0,1.04,23.726413164423075
47,Красноярскэнергосбыт ао,KRSB,10931366484.08,1.77,6.175913267841807
48,"""Россети Кубань"" ПАО",KUBE,111307196586.2,6.82,16.32070331175953
49,"ПАО ""Органический синтез"" ао",KZOS,201182347800.0,15.9,12.652977849056604
50,ПАО «ЛК «Европлан»,LEAS,122040000000.0,14.8,8.245945945945946
51,НК ЛУКОЙЛ (ПАО) - ао,LKOH,5348923682640.0,1155.0,4.631102755532468
52,"""Лензолото"" ПАО ао",LNZL,18073755000.0,0.108,167.34958333333336
53,Россети Ленэнерго ПАО-ао,LSNG,180874724490.4,19.9,9.08918213519598
54,Группа ЛСР ПАО ао,LSRG,82671444516.0,28.4,2.910966356197183
55,Левенгук ПАО ао,LVHK,2713175000.0,0.002,1356.5875
56,"""Магнитогорск.мет.комб"" ПАО ао",MAGN,658503266900.0,118.2,5.5710936285956
57,МТС-Банк ао,MBNK,86607286563.0,12.5,6.92858292504
58,МГКЛ ао,MGKL,3340078985.0,0.332,10.060478870481928
59,"""Магнит"" ПАО ао",MGNT,821099787235.0,58.7,13.988071332793867
60,"ПАО ""МГТС"" ао (5 в)",MGTS,126736914090.0,18.6,6.813812585483871
61,ТНС энерго Марий Эл ПАО ао,MISB,8724301048.0,2.25,3.8774671324444445
62,ПАО Московская Биржа,MOEX,539507145546.0,60.8,8.873472788585527
63,"ПАО ""Россети Центр"" ао",MRKC,24672164993.9,7.92,3.1151723477146467
64,Россети Центр и Приволжье ао,MRKP,40075343740.49,14.0,2.862524552892143
65,Россети Урал (ПАО) ао,MRKU,59137980534.92,11.9,4.969578196211764
66,Россети Волга ао,MRKV,13369865069.97,2.97,4.501638070696969
67,Россети Юг  (ПАО) ао,MRKY,13253460663.34,3.01,4.403143077521595
68,Мордовск.энергсбыт.комп.ПАО ао,MRSB,1213224014.42,0.144,8.425166766805557
69,МосЭнерго акции обыкн.,MSNG,132564114599.5,19.3,6.868606974067357
70,ПАО Россети Моск.рег. ао,MSRS,65998109082.77,26.3,2.509433805428517
71,"ПАО ""МОСТОТРЕСТ"" ао",MSTT,55441234975.0,1.06,52.30305186320754
72,Мечел ПАО ао,MTLR,94493459115.0,22.3,4.237374848206278
73,Мобильные ТелеСистемы ПАО ао,MTSS,607707836957.5,54.6,11.130180164056776
74,"""М.видео"" ПАО ао",MVID,31405509256.9,0.13,241.58084043769233
75,НПО Наука ао,NAUK,7916649250.0,0.124,63.843945564516126
76,НКХП ПАО ао,NKHP,67732194000.0,4.89,13.851164417177916
77,"""Нижнекамскнефтехим"" ПАО ао",NKNC,159514344000.0,16.6,9.6092978313253
78,Нижнекамскшина ПАО ао,NKSH,4464368528.55,0.233,19.160379950858367
79,"ПАО ""НЛМК"" ао",NLMK,1530909966185.6,221.5,6.911557409415802
80,НМТП (ПАО) ао,NMTP,234199355264.0,29.6,7.9121403805405395
81,"ПАО ""НОВАТЭК"" ао",NVTK,3401877242400.0,463.0,7.347467046220302
82,ОГК-2 ПАО ао,OGKB,56755712571.09,9.92,5.721341993053427
83,ФосАгро ПАО ао,PHOR,811447000000.0,104.1,7.794879923150817
84,ПИК СЗ (ПАО) ао,PIKK,574038241670.4,62.8,9.140736332331212
85,Полюс ПАО ао,PLZL,1873675638000.0,151.4,12.375664715984149
86,"""Пермэнергосбыт"" ПАО ао",PMSB,9414849600.0,1.64,5.740761951219513
87,Группа Позитив ао,POSI,201537600000.0,9.7,20.777072164948457
88,ПАО Распадская ао,RASP,269888530357.2,34.6,7.800246542115607
89,Ренессанс Страхование ао,RENI,59148385236.0,10.3,5.742561673398058
90,Росгосстрах СК ПАО ао,RGSS,156934899337.35,4.6,34.11628246464131
91,РКК Энергия им.С.П.Королева ао,RKKE,45745319310.0,0.366,124.98721122950819
92,РуссНефть НК ПАО ао,RNFT,61647552000.0,20.4,3.021938823529412
93,РОСБАНК ПАО ао,ROSB,183065418654.0,28.8,6.356438147708333
94,ПАО НК Роснефть,ROSN,6200993840726.7,1267.0,4.894233497021863
95,РОСИНТЕР РЕСТОРАНТС (ПАО),ROST,2784951047.2,0.001,2784.9510471999997
96,Ростелеком (ПАО) ао.,RTKM,345929491778.73,34.4,10.056089877288661
97,ТНС энерго Ростов. ПАО ао,RTSB,38327125447.34,5.58,6.868660474433691
98,РУСАЛ ОК МКПАО ао,RUAL,671683187049.02,6.2,108.33599791113227
99,"""Рязанская энергосб.комп"" ПАО",RZSB,9014315983.2,0.982,9.179547844399186
100,Самараэнерго (ПАО) - ао,SAGO,13147119496.38,1.79,7.3447594951843564
101,Саратовэнерго(ПАО)-ао,SARE,2870425517.64,0.403,7.122643964367245
102,Сбербанк России ПАО ао,SBER,6929410308000.0,1509.0,4.59205454473161
103,"ПАО ""Селигдар""  ао",SELG,73428700000.0,14.4,5.099215277777778
104,ЭсЭфАй ПАО ао,SFIN,150666362733.6,19.5,7.726480140184616
105,Газпром нефть ПАО ао,SIBN,3457355696758.8,641.1,5.392849316423022
106,"ПАО ""Сахалинэнерго"" ао",SLEN,5715750551.28,1.64,3.485213750780488
107,ГК Самолет ао,SMLT,215127487173.0,16.4,13.117529705670732
108,Сургутнефтегаз ПАО акции об.,SNGS,1133943071936.7,1322.0,0.8577481633409229
109,Софтлайн ао,SOFL,55352160000.0,3.1,17.855535483870966
110,Ставрополэнергосбыт ПАО ао,STSB,2757629581.56,0.61,4.520704232065573
111,"ПАО ""СОЛЛЕРС""",SVAV,32037006017.5,4.93,6.498378502535497
112,Совкомбанк ао,SVCB,377043693842.5,94.1,4.006840529675877
113,"ао""Тамбов.энергсбыт.комп.""ПАО",TASB,3210676395.52,0.311,10.323718313569131
114,"ПАО ""Татнефть"" ао",TATN,1595019461470.0,286.3,5.571147263255326
115,ТКС Холдинг МКПАО ао,TCSG,579879328974.0,80.9,7.167853262966625
116,"ао ПАО ""ТГК-14""",TGKN,21048156941.27,1.57,13.406469389343949
117,"ПАО ГК ""ТНС энерго"" ао",TNSE,43465000020.0,51.3,0.8472709555555555
118,"ао ""Томская распределит.комп.""",TORS,3857508735.8,0.388,9.942032824226805
119,ПАО ТМК,TRMK,225946704544.2,38.8,5.823368673819589
