,NAME,SECID,PRICE,DIVD,DIVDINCOME
0,"АКБ ""Приморье"" ао",PRMB,34800.0,1310.0,0.04
1,НК ЛУКОЙЛ (ПАО) - ао,LKOH,7720.0,945.0,0.12
2,НоваБев Групп ПАО ао,BELU,5627.0,680.0,0.12
3,ФосАгро ПАО ао,PHOR,6266.0,555.0,0.09
4,"""ЧКПЗ"" ПАО ао",CHKZ,28900.0,437.0,0.02
5,Донской завод радиодеталей ао,DZRD,4880.0,432.1,0.09
6,Акрон ПАО ао,AKRN,16290.0,427.0,0.03
7,"""Магнит"" ПАО ао",MGNT,8057.0,412.1,0.05
8,Группа Черкизово ПАО-ао,GCHE,4788.0,323.8,0.07
9,Северсталь (ПАО)ао,CHMF,1990.8,191.5,0.1
10,Группа Позитив ао,POSI,3053.6,129.4,0.04
11,Газпром нефть ПАО ао,SIBN,729.2,102.4,0.14
12,Группа ЛСР ПАО ао,LSRG,802.4,100.0,0.12
13,"ПАО ""СОЛЛЕРС""",SVAV,1017.5,89.0,0.09
14,"ПАО ""Татнефть"" ао",TATN,732.1,87.9,0.12
15,"АКБ ""АВАНГАРД"" ПАО ао",AVAN,919.0,82.6,0.09
16,"ПАО ""НОВАТЭК"" ао",NVTK,1120.4,78.6,0.07
17,ПАО ММЦБ ао,GEMA,175.4,64.2,0.37
18,ЭсЭфАй ПАО ао,SFIN,1349.6,60.0,0.04
19,ПАО «ЛК «Европлан»,LEAS,1017.0,56.7,0.06
20,ПАО ИНАРКТИКА,AQUA,874.0,55.0,0.06
21,"ПАО ""Банк ""Санкт-Петербург"" ао",BSPB,368.6,42.5,0.12
22,НКХП ПАО ао,NKHP,1002.0,36.7,0.04
23,Мобильные ТелеСистемы ПАО ао,MTSS,304.1,35.0,0.12
24,Сбербанк России ПАО ао,SBER,321.0,33.3,0.1
25,ПАО НК Роснефть,ROSN,585.1,30.8,0.05
26,Куйбышевазот ПАО ао,KAZT,606.8,29.0,0.05
27,"""Пермэнергосбыт"" ПАО ао",PMSB,260.0,28.4,0.11
28,"ПАО ""НЛМК"" ао",NLMK,255.44,25.4,0.1
29,ПАО ТМК,TRMK,218.7,23.0,0.11
30,ПАО Московская Биржа,MOEX,237.0,17.4,0.07
31,ТНС энерго Кубань ПАО ао,KBSB,503.5,15.4,0.03
32,РоссийскийДорож Банк ПАО ао,RDRB,206.0,10.9,0.05
33,Ренессанс Страхование ао,RENI,106.2,10.0,0.09
34,ГДР FixPrice Group PLC ORD SHS,FIXP,276.5,9.84,0.04
35,ГАЗКОН (ПАО) ао,GAZC,659.0,9.04,0.01
36,ГДР MD Medical Group Inv. PLC,MDMG,1072.0,8.55,0.01
37,НПО Наука ао,NAUK,671.5,7.2,0.01
38,"ПАО ""Органический синтез"" ао",KZOS,112.7,6.22,0.06
39,АЛРОСА ПАО ао,ALRS,80.05,5.79,0.07
40,"""Россети Кубань"" ПАО",KUBE,332.6,4.87,0.01
41,"""Рязанская энергосб.комп"" ПАО",RZSB,43.56,4.22,0.1
42,"ПАО ""Селигдар""  ао",SELG,71.29,4.0,0.06
43,"""Нижнекамскнефтехим"" ПАО ао",NKNC,99.0,2.94,0.03
44,РОСБАНК ПАО ао,ROSB,118.0,2.9,0.02
45,"""Магнитогорск.мет.комб"" ПАО ао",MAGN,58.93,2.75,0.05
46,Совкомбанк ао,SVCB,18.22,1.39,0.08
47,Красноярскэнергосбыт ао,KRSB,18.34,1.33,0.07
48,Левенгук ПАО ао,LVHK,51.25,1.22,0.02
49,"ПАО ""Артген""",ABIO,100.18,1.2,0.01
50,Коршуновский ГОК ПАО ао,KOGK,51000.0,1.0,0.0
51,Сургутнефтегаз ПАО акции об.,SNGS,31.74,0.85,0.03
52,Завод ДИОД ПАО ао,DIOD,16.3,0.8,0.05
53,"""Центр междун. торговли""ПАО ао",WTCM,14.68,0.687,0.05
54,УК Арсагера ПАО-ао,ARSA,15.31,0.5,0.03
55,Светофор Групп ао,SVET,28.9,0.471,0.02
56,Россети Ленэнерго ПАО-ао,LSNG,21.22,0.425,0.02
57,"""Интер РАО"" ПАО ао",IRAO,4.309,0.326,0.08
58,Ставрополэнергосбыт ПАО ао,STSB,3.21,0.312,0.1
59,Самараэнерго (ПАО) - ао,SAGO,3.715,0.234,0.06
60,ПАО Россети Моск.рег. ао,MSRS,1.355,0.143,0.11
61,"""КрасныйОктябрь"" ПАО - ао",KROT,2677.0,0.1,0.0
62,МГКЛ ао,MGKL,2.633,0.08,0.03
63,"ПАО ""Россети Центр"" ао",MRKC,0.5844,0.066,0.11
64,Россети Урал (ПАО) ао,MRKU,0.6764,0.054,0.08
65,"""Таттелеком"" ПАО ао",TTLK,1.017,0.049,0.05
66,Россети Центр и Приволжье ао,MRKP,0.3556,0.039,0.11
67,Мордовск.энергсбыт.комп.ПАО ао,MRSB,0.902,0.037,0.04
68,"""Центральный Телеграф"" ПАО ао",CNTL,16.44,0.034,0.0
69,БАНК УРАЛСИБ ПАО ао,USBN,0.267,0.027,0.1
70,"ао ""Томская распределит.комп.""",TORS,1.01,0.024,0.02
71,Россети Волга ао,MRKV,0.071,0.006,0.08
72,"Банк ""Кузнецкий"" ПАО ао",KUZB,0.0576,0.003,0.05
73,"ао ПАО ""ТГК-14""",TGKN,0.0155,0.001,0.06
74,"ПАО ""МОСТОТРЕСТ"" ао",MSTT,196.45,0.0,0.0
75,ДВ морское пароходство ПАО ао,FESH,77.41,0.0,0.0
76,ПИК СЗ (ПАО) ао,PIKK,869.1,0.0,0.0
77,Polymetal International plc,POLY,282.3,0.0,0.0
78,PLLC Yandex N.V. class A shs,YNDX,4189.2,0.0,0.0
79,РуссНефть НК ПАО ао,RNFT,209.6,0.0,0.0
80,ГДР ROS AGRO PLC ORD SHS,AGRO,1419.4,0.0,0.0
81,Юнипро ПАО ао,UPRO,2.028,0.0,0.0
82,ГДР Globaltrans Invest ORD SHS,GLTR,771.45,0.0,0.0
