ID,DEV
PRMB,1310
LKOH,945.0
BELU,680.0
PHOR,555.0
CHKZ,437.0
DZRD,432.1
AKRN,427.0
MGNT,412.1
GCHE,323.8
CHMF,191.5
POSI,129.4
SIBN,102.4
LSRG,100.0
SVAV,89.0
TATN,87.9
AVAN,82.6
NVTK,78.6
GEMA,64.2
SFIN,60.0
LEAS,56.7
AQUA,55.0
BSPB,42.5
NKHP,36.7
MTSS,35.0
SBER,33.3
ROSN,30.8
KAZT,29.0
PMSB,28.4
NLMK,25.4
TRMK,23.0
MOEX,17.4
KBSB,15.4
RDRB,10.9
RENI,10.00
FIXP,9.84
GAZC,9.04
MDMG,8.55
NAUK,7.20
KZOS,6.22
ALRS,5.79
KUBE,4.87
RZSB,4.22
SELG,4.00
NKNC,2.94
ROSB,2.90
MAGN,2.75
SVCB,1.39
KRSB,1.33
LVHK,1.22
ABIO,1.20
KOGK,1.000
SNGS,0.850
DIOD,0.800
WTCM,0.687
ARSA,0.500
SVET,0.471
LSNG,0.425
IRAO,0.326
STSB,0.312
SAGO,0.234
MSRS,0.143
KROT,0.100
MGKL,0.080
MRKC,0.066
MRKU,0.054
TTLK,0.049
MRKP,0.039
MRSB,0.037
CNTL,0.034
USBN,0.027
TORS,0.024
MRKV,0.006
KUZB,0.003
TGKN,0.001
MSTT,0
KRKO,0
FESH,0
PIKK,0
POLY,0
YNDX,0
RNFT,0
AGRO,0
UPRO,0
GLTR,0
