BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
TQBR,2024-05-24,iАРТГЕН ао,ABIO,2733,29725359.4,103.4,100.02,103.54,100.4,101.04,100.18,294170,101.14,101.14,,23694867.6,23694867.6,,0.0,3,SUR,-2.83
TQBR,2024-05-24,АбрауДюрсо,ABRD,2499,64767982.0,294.6,278.0,294.6,286.0,287.0,286.0,225660,287.0,287.0,,64767982.0,64767982.0,,0.0,3,SUR,-1.99
TQBR,2024-05-24,АСКО ао,ACKO,0,0.0,,,,3.58,,,0,,,,0.0,0.0,,0.0,3,SUR,
SMAL,2024-05-24,Система ао,AFKS,12,3221.44,29.0,26.3,29.0,,28.074,26.641,118,,,,0.0,0.0,,0.0,3,SUR,-16.74
TQBR,2024-05-24,Система ао,AFKS,45388,3126733976.9,28.765,27.51,28.952,27.834,28.074,27.655,111376500,28.13,28.13,,2780396898.9,2780396898.9,,0.0,3,SUR,-3.86
SMAL,2024-05-24,Аэрофлот,AFLT,5,395.66,62.36,55.03,62.36,,57.79,56.06,7,,,,0.0,0.0,,0.0,3,SUR,-4.95
TQBR,2024-05-24,Аэрофлот,AFLT,63202,1887674683.2,57.82,56.88,58.5,57.99,57.79,58.13,32663100,57.77,57.77,,1729303009.2,1729303009.2,,0.0,3,SUR,0.73
TQBR,2024-05-24,AGRO-гдр,AGRO,7697,197428433.6,1459.4,1416.4,1468.6,1433.0,1432.4,1419.4,137826,1434.4,1434.4,,163647150.4,163647150.4,,0.0,3,SUR,-2.74
TQTF,2024-05-24,AKGD ETF,AKGD,700,3002526.9,156.24,155.32,157.28,155.56,155.92,155.36,19267,155.84,155.84,,3002526.9,3002526.9,,16025492.44,3,SUR,-0.56
TQTF,2024-05-24,ETF AKMB,AKMB,168675,66802319.88,1.3766,1.3672,1.3766,1.3696,1.3708,1.37,48727825,1.371,1.371,,66802319.88,66802319.88,,104899574.71,3,SUR,-0.38
TQTF,2024-05-24,ETF AKME,AKME,3687,85168252.44,202.2,197.36,202.36,199.24,200.18,199.38,425855,200.0,200.0,,85168252.44,85168252.44,,72786932.33,3,SUR,-1.39
TQTF,2024-05-24,AKMM ETF,AKMM,1381,581645346.22,120.4,120.4,120.44,120.42,120.41,120.44,4829653,120.43,120.43,,581645346.22,581645346.22,,645974755.29,3,SUR,0.13
TQTF,2024-05-24,AKQU ETF,AKQU,8,144720.0,8580.0,8480.0,8580.0,8520.0,8520.0,8520.0,17,8580.0,8580.0,,1485400.0,643700.0,,1420689.84,3,SUR,-1.16
TQBR,2024-05-24,Акрон,AKRN,1186,223831376.0,16380.0,16284.0,16490.0,16290.0,16354.0,16290.0,13687,16354.0,16354.0,,223831376.0,223831376.0,,0.0,3,SUR,-0.91
TQTF,2024-05-24,AKUP ETF,AKUP,234,1788127.75,10.98,10.78,11.08,10.87,10.89,10.86,164154,10.89,10.89,,1788127.75,1788127.75,,926293.79,3,SUR,-1.0
SMAL,2024-05-24,АЛРОСА ао,ALRS,13,1773.25,81.69,78.45,82.53,,80.46,78.45,22,,,,0.0,0.0,,0.0,3,SUR,-4.33
TQBR,2024-05-24,АЛРОСА ао,ALRS,23280,1162639066.7,81.21,79.1,81.49,80.79,80.46,80.05,14449620,80.49,80.49,,1023367698.4,1023367698.4,,0.0,3,SUR,-1.43
TQBR,2024-05-24,АшинскийМЗ,AMEZ,1943,50597958.0,65.74,61.02,65.74,63.12,62.44,63.12,810400,62.44,62.44,,50597958.0,50597958.0,,0.0,3,SUR,-2.74
TQTF,2024-05-24,AMNR ETF,AMNR,138,108024380.97,105.581,105.577,105.591,105.589,105.584,105.587,1023114,105.585,105.585,,93782013.09,93782013.09,,244358349.4,3,SUR,0.14
TQTF,2024-05-24,AMRB ETF,AMRB,0,0.0,,,,104.1,,,0,,103.7,,0.0,507615.9,,182167.78,3,SUR,
TQTF,2024-05-24,AMRE ETF,AMRE,223,408884.4,122.7,119.5,122.7,120.7,121.0,120.9,3380,,121.3,,0.0,514252.1,,825640.67,3,SUR,-1.39
TQTF,2024-05-24,AMRH ETF,AMRH,30,604195.9,119.3,118.3,119.3,119.2,118.3,119.2,5107,118.3,118.3,,604195.9,604195.9,,381545.56,3,SUR,-0.17
SMAL,2024-05-24,Аптеки36и6,APTK,1,12.86,12.862,12.862,12.862,,12.728,12.862,1,,,,0.0,0.0,,0.0,3,SUR,-5.29
TQBR,2024-05-24,Аптеки36и6,APTK,7797,58998074.78,12.95,12.5,13.02,12.578,12.728,12.578,4635030,12.728,12.728,,58998074.78,58998074.78,,0.0,3,SUR,-2.12
TQBR,2024-05-24,ИНАРКТИКА,AQUA,10606,130697097.0,892.5,870.0,895.0,879.0,880.5,874.0,148474,881.0,881.0,,114002184.5,114002184.5,,0.0,3,SUR,-1.74
TQBR,2024-05-24,Арсагера,ARSA,436,3855664.0,15.8,15.03,15.83,15.31,15.41,15.31,250200,15.41,15.41,,3855664.0,3855664.0,,0.0,3,SUR,-2.48
TQBR,2024-05-24,АстрЭнСб,ASSB,538,4930505.0,2.95,2.83,2.95,2.83,2.875,2.83,1716000,2.875,2.875,,4930505.0,4930505.0,,0.0,3,SUR,-4.55
TQBR,2024-05-24,Астра ао,ASTR,16468,342164611.7,620.55,611.0,622.75,616.0,615.7,612.0,555722,616.15,616.15,,283969876.55,283969876.55,,0.0,3,SUR,-1.35
TQBR,2024-05-24,Авангрд-ао,AVAN,1067,8789829.0,939.0,908.0,949.0,919.0,929.0,919.0,9463,929.0,929.0,,8789829.0,8789829.0,,0.0,3,SUR,-2.13
