SECID,INCOME
SBER,1509.0
SNGS,1322.0
ROSN,1267.0
LKOH,1155.0
GAZP,695.6
SIBN,641.1
NVTK,463.0
VTBR,432.2
TRNF,296.5
TATN,286.3
NLMK,221.5
GMKN,210.7
CHMF,193.9
BANE,177.4
FEES,161.3
PLZL,151.4
IRAO,135.9
MAGN,118.2
PHOR,104.1
SVCB,94.1
FIVE,90.3
ALRS,85.1
FLOT,83.5
TCSG,80.9
HYDR,78.6
PIKK,62.8
MOEX,60.8
CBOM,59.8
MGNT,58.7
MTSS,54.6
TNSE,51.3
ENPG,50.8
BSPB,47.8
AGRO,46.5
TRMK,38.8
GLTR,38.6
FESH,37.7
FIXP,35.7
AKRN,35.7
RASP,34.6
RTKM,34.4
NMTP,29.6
ROSB,28.8
LSRG,28.4
YNDX,27.4
GCHE,27.4
MSRS,26.3
VSMO,23.5
MTLR,22.3
UPRO,22.0
RNFT,20.4
LSNG,19.9
SFIN,19.5
MSNG,19.3
MGTS,18.6
NKNC,16.6
SMLT,16.4
KMAZ,16.2
KZOS,15.9
LEAS,14.8
SELG,14.4
MRKP,14.0
KAZT,12.5
MBNK,12.5
HHRU,12.2
MRKU,11.9
RENI,10.3
AFLT,10.3
OGKB,9.92
POSI,9.7
AMEZ,9.61
GEMC,9.49
AQUA,9.2
BELU,8.06
JNOS,8.0
MRKC,7.92
MDMG,7.82
USBN,7.65
KUBE,6.82
RUAL,6.2
ZAYM,6.09
RTSB,5.58
VRSB,5.58
EUTR,5.15
SVAV,4.93
NKHP,4.89
ELFV,4.62
RGSS,4.6
EMLT,4.34
KCHE,3.98
WTCM,3.6
ASTR,3.54
OMZZ,3.46
IGST,3.35
DVEC,3.27
SOFL,3.1
MRKY,3.01
MRKV,2.97
HNFG,2.47
CHKZ,2.34
MISB,2.25
BISV,2.15
WUSH,1.94
DELI,1.93
DIAS,1.84
UKUZ,1.8
SAGO,1.79
KRSB,1.77
CIAN,1.69
VGSB,1.69
PMSB,1.64
SLEN,1.64
CHMK,1.62
TGKN,1.57
YAKG,1.44
TTLK,1.36
UWGN,1.34
ABRD,1.08
MSTT,1.06
KROT,1.04
RZSB,0.982
UGLD,0.687
EELT,0.671
CARM,0.647
STSB,0.61
KRKN,0.6
KGKC,0.54
TUZA,0.51
KMTZ,0.478
SARE,0.403
TORS,0.388
RKKE,0.366
MGKL,0.332
TASB,0.311
INGR,0.28
ABIO,0.245
NKSH,0.233
ZILL,0.2
MRSB,0.144
MVID,0.13
GEMA,0.126
NAUK,0.124
ARSA,0.11
KLSB,0.109
LNZL,0.108
BLNG,0.078
ASSB,0.063
KTSB,0.06
LVHK,0.002
ROST,0.001
APTK,-0.001
KMEZ,-0.004
KRKO,-0.02
ROLO,-0.266
NNSB,-0.276
GECO,-0.35
DZRD,-0.373
RBCM,-0.39
SPBE,-0.45
YRSB,-0.47
MRKZ,-0.55
ZVEZ,-0.66
VSYDP,-0.685
YKEN,-0.774
TGKA,-0.78
KOGK,-0.8
LENT,-0.93
OKEY,-1.3
MRKS,-2.95
ETLN,-3.37
MFGS,-7.9
AFKS,-9.06
MRKK,-11.1
TGKB,-15.5
SGZH,-16.0
VKCO,-34.3
UNAC,-35.8
OZON,-42.6
