SECID,BOARDID,BID,BIDDEPTH,OFFER,OFFERDEPTH,SPREAD,BIDDEPTHT,OFFERDEPTHT,OPEN,LOW,HIGH,LAST,LASTCHANGE,LASTCHANGEPRCNT,QTY,VALUE,VALUE_USD,WAPRICE,LASTCNGTOLASTWAPRICE,WAPTOPREVWAPRICEPRCNT,WAPTOPREVWAPRICE,CLOSEPRICE,MARKETPRICETODAY,MARKETPRICE,LASTTOPREVPRICE,NUMTRADES,VOLTODAY,VALTODAY,VALTODAY_USD,ETFSETTLEPRICE,TRADINGSTATUS,UPDATETIME,LASTBID,LASTOFFER,LCLOSEPRICE,LCURRENTPRICE,MARKETPRICE2,NUMBIDS,NUMOFFERS,CHANGE,TIME,HIGHBID,LOWOFFER,PRICEMINUSPREVWAPRICE,OPENPERIODPRICE,SEQNUM,SYSTIME,CLOSINGAUCTIONPRICE,CLOSINGAUCTIONVOLUME,ISSUECAPITALIZATION,ISSUECAPITALIZATION_UPDATETIME,ETFSETTLECURRENCY,VALTODAY_RUR,TRADINGSESSION,TRENDISSUECAPITALIZATION
ABIO,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,101.14,0,0,0,0,0,,N,06:32:24,,,,,,,,,06:32:24,,,,,20240527064726,2024-05-27 06:47:26,,,9281221281.18,00:00:00,,0,,0.0
ABRD,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,287.0,0,0,0,0,0,,N,06:32:17,,,,,,,,,06:32:17,,,,,20240527064718,2024-05-27 06:47:18,,,28028052624.0,00:00:00,,0,,0.0
ACKO,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,,0,0,0,0,0,,N,06:32:17,,,,,,,,,06:32:17,,,,,20240527064718,2024-05-27 06:47:18,,,1918880000.0,00:00:00,,0,,0.0
AFKS,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,28.13,0,0,0,0,0,,N,06:32:24,,,,,,,,,06:32:24,,,,,20240527064726,2024-05-27 06:47:26,,,266870750000.0,00:00:00,,0,,0.0
AFLT,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,57.77,0,0,0,0,0,,N,06:32:24,,,,,,,,,06:32:24,,,,,20240527064726,2024-05-27 06:47:26,,,231111580727.95,00:00:00,,0,,0.0
AGRO,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,1434.4,0,0,0,0,0,,N,06:32:24,,,,,,,,,06:32:24,,,,,20240527064726,2024-05-27 06:47:26,,,,,,0,,
AKRN,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,16354.0,0,0,0,0,0,,N,06:32:17,,,,,,,,,06:32:17,,,,,20240527064718,2024-05-27 06:47:18,,,598774071240.0,00:00:00,,0,,0.0
ALRS,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,80.49,0,0,0,0,0,,N,06:32:24,,,,,,,,,06:32:24,,,,,20240527064726,2024-05-27 06:47:26,,,589565498681.5,00:00:00,,0,,0.0
AMEZ,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,62.44,0,0,0,0,0,,N,06:32:17,,,,,,,,,06:32:17,,,,,20240527064718,2024-05-27 06:47:18,,,31462468364.64,00:00:00,,0,,0.0
APTK,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,12.728,0,0,0,0,0,,N,06:32:17,,,,,,,,,06:32:17,,,,,20240527064718,2024-05-27 06:47:18,,,95975596663.43,00:00:00,,0,,0.0
AQUA,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,881.0,0,0,0,0,0,,N,06:32:24,,,,,,,,,06:32:24,,,,,20240527064726,2024-05-27 06:47:26,,,76804191226.0,00:00:00,,0,,0.0
