,SHORTNAME,SECID,MEDIAN
0,АЛРОСА ао,ALRS,11737237
1,Телеграф-п,CNTLP,804356
2,Телеграф,CNTL,936835
3,ЕвроЭлтех,EELT,1113037
4,AKMM ETF,AKMM,5213787
5,АстрЭнСб,ASSB,980063
6,Аптеки36и6,APTK,3483703
7,Белон ао,BLNG,1152777
8,БСП ао,BSPB,1647771
9,МКБ ао,CBOM,7190527
10,ETLN-гдр,ETLN,639854
11,Астра ао,ASTR,454410
12,EQMX ETF,EQMX,447449
13,AMNR ETF,AMNR,1728831
14,ДВМП ао,FESH,3663557
15,СевСт-ао,CHMF,876369
16,iГЕНЕТИКО,GECO,859145
17,ЕвроТранс,EUTR,2381831
18,ДЭК ао,DVEC,6343502
19,FIXP-гдр,FIXP,600605
20,Совкомфлот,FLOT,5245178
21,Арсагера,ARSA,542794
