SECID,BOARDID,SHORTNAME,PREVPRICE,LOTSIZE,FACEVALUE,STATUS,BOARDNAME,DECIMALS,SECNAME,REMARKS,MARKETCODE,INSTRID,SECTORID,MINSTEP,PREVWAPRICE,FACEUNIT,PREVDATE,ISSUESIZE,ISIN,LATNAME,REGNUMBER,PREVLEGALCLOSEPRICE,CURRENCYID,SECTYPE,LISTLEVEL,SETTLEDATE
ABIO,TQBR,iАРТГЕН ао,100.18,10,0.1,A,Т+: Акции и ДР - безадрес.,2,"ПАО ""Артген""",,FNDT,EQIN,,0.02,101.04,SUR,2024-05-24,92645451,RU000A0JNAB6,ARTGEN ao,1-01-08902-A,100.4,SUR,1,2,2024-05-28
ABRD,TQBR,АбрауДюрсо,286.0,10,1.0,A,Т+: Акции и ДР - безадрес.,1,Абрау-Дюрсо ПАО ао,,FNDT,EQIN,,0.2,287.0,SUR,2024-05-24,98000184,RU000A0JS5T7,Abrau-Durso ao,1-02-12500-A,286.0,SUR,1,3,2024-05-28
ACKO,TQBR,АСКО ао,3.58,100,1.0,A,Т+: Акции и ДР - безадрес.,2,АСКО ПАО ао,,FNDT,EQIN,,0.02,3.64,SUR,2024-05-24,536000000,RU000A0JXS91,ASKO ao,1-01-52065-Z,3.58,SUR,1,3,2024-05-28
AFKS,TQBR,Система ао,27.655,100,0.09,A,Т+: Акции и ДР - безадрес.,3,"АФК ""Система"" ПАО ао",,FNDT,EQIN,,0.001,28.074,SUR,2024-05-24,9650000000,RU000A0DQZE3,AFK Sistema,1-05-01669-A,27.834,SUR,1,1,2024-05-28
AFLT,TQBR,Аэрофлот,58.13,10,1.0,A,Т+: Акции и ДР - безадрес.,2,Аэрофлот-росс.авиалин(ПАО)ао,,FNDT,EQIN,,0.01,57.79,SUR,2024-05-24,3975771215,RU0009062285,Aeroflot,1-01-00010-A,57.99,SUR,1,1,2024-05-28
AGRO,TQBR,AGRO-гдр,1419.4,1,0.0,A,Т+: Акции и ДР - безадрес.,1,ГДР ROS AGRO PLC ORD SHS,,FNDT,EQIN,,0.2,1432.4,USD,2024-05-24,0,US7496552057,GDR ROS AGRO PLC ORD SHS,,1433.0,SUR,D,1,2024-05-28
AKRN,TQBR,Акрон,16290.0,1,5.0,A,Т+: Акции и ДР - безадрес.,0,Акрон ПАО ао,,FNDT,EQIN,,2.0,16354.0,SUR,2024-05-24,36757156,RU0009028674,Acron,1-03-00207-A,16290.0,SUR,1,2,2024-05-28
ALRS,TQBR,АЛРОСА ао,80.05,10,0.5,A,Т+: Акции и ДР - безадрес.,2,АЛРОСА ПАО ао,,FNDT,EQIN,,0.01,80.46,SUR,2024-05-24,7364965630,RU0007252813,ALROSA ao,1-03-40046-N,80.79,SUR,1,1,2024-05-28
AMEZ,TQBR,АшинскийМЗ,63.12,100,1.0,A,Т+: Акции и ДР - безадрес.,2,Ашинский метзавод ПАО ао,,FNDT,EQIN,,0.02,62.44,SUR,2024-05-24,498454822,RU000A0B88G6,Ashinckiy metzavod PAO,1-03-45219-D,63.12,SUR,1,3,2024-05-28
APTK,TQBR,Аптеки36и6,12.578,10,0.64,A,Т+: Акции и ДР - безадрес.,3,"ПАО ""Аптечная сеть 36,6"" ао",,FNDT,EQIN,,0.002,12.728,SUR,2024-05-24,7630433826,RU0008081765,"Apteki 36,6",1-01-07335-A,12.578,SUR,1,2,2024-05-28
AQUA,TQBR,ИНАРКТИКА,874.0,1,100.0,A,Т+: Акции и ДР - безадрес.,1,ПАО ИНАРКТИКА,,FNDT,EQIN,,0.5,880.5,SUR,2024-05-24,87876649,RU000A0JQTS3,INARCTIKA,1-01-04461-D,879.0,SUR,1,1,2024-05-28
ARSA,TQBR,Арсагера,15.31,100,1.0,A,Т+: Акции и ДР - безадрес.,2,УК Арсагера ПАО-ао,,FNDT,EQIN,,0.01,15.41,SUR,2024-05-24,123817165,RU000A0JP0Q7,UK Arsagera,1-01-03163-D,15.31,SUR,1,3,2024-05-28
ASSB,TQBR,АстрЭнСб,2.83,1000,0.007,A,Т+: Акции и ДР - безадрес.,3,"""Астраханская ЭСК"" ПАО",,FNDT,EQIN,,0.005,2.875,SUR,2024-05-24,773900078,RU000A0D8MM8,Astrakhan Energo Sbyt,1-01-55064-E,2.83,SUR,1,3,2024-05-28
ASTR,TQBR,Астра ао,612.0,1,0.05,A,Т+: Акции и ДР - безадрес.,2,Группа Астра ао,,FNDT,EQIN,,0.05,615.7,SUR,2024-05-24,210000000,RU000A106T36,Astra Group,1-01-01286-G,616.0,SUR,1,2,2024-05-28
AVAN,TQBR,Авангрд-ао,919.0,1,10.0,A,Т+: Акции и ДР - безадрес.,0,"АКБ ""АВАНГАРД"" ПАО ао",,FNDT,EQIN,,1.0,929.0,SUR,2024-05-24,80700000,RU000A0DM7B3,"AKB ""AVANGARD""",10102879B,919.0,SUR,1,3,2024-05-28
BANE,TQBR,Башнефт ао,3051.5,1,1.0,A,Т+: Акции и ДР - безадрес.,1,Башнефть АНК ао,,FNDT,EQIN,,0.5,3036.5,SUR,2024-05-24,147846489,RU0007976957,Bashneft ANK ao,1-01-00013-A,3033.5,SUR,1,3,2024-05-28
BANEP,TQBR,Башнефт ап,2256.5,1,1.0,A,Т+: Акции и ДР - безадрес.,1,Башнефть АНК ап,,FNDT,EQIN,,0.5,2259.0,SUR,2024-05-24,29788012,RU0007976965,Bashneft ANK ap,2-01-00013-A,2254.0,SUR,2,3,2024-05-28
BELU,TQBR,НоваБев ао,5627.0,1,100.0,A,Т+: Акции и ДР - безадрес.,0,НоваБев Групп ПАО ао,,FNDT,EQIN,,1.0,5664.0,SUR,2024-05-24,15800000,RU000A0HL5M1,NovaBev Group ao,1-01-55052-E,5675.0,SUR,1,1,2024-05-28
BISVP,TQBR,БашИнСв ап,13.88,100,1.0,A,Т+: Акции и ДР - безадрес.,2,Башинформсвязь(ПАО) ап,,FNDT,EQIN,,0.01,14.06,SUR,2024-05-24,36165270,RU0009100176,BashInformSvyaz ap,2-01-00011-A,13.88,SUR,2,3,2024-05-28
BLNG,TQBR,Белон ао,26.75,100,0.01,A,Т+: Акции и ДР - безадрес.,3,Белон ОАО ао,,FNDT,EQIN,,0.005,26.95,SUR,2024-05-24,1150000000,RU000A0J2QG8,Belon ao,1-06-10167-F,26.75,SUR,1,3,2024-05-28
BRZL,TQBR,БурЗолото,2390.0,1,0.025,A,Т+: Акции и ДР - безадрес.,0,Бурятзолото ПАО ао,,FNDT,EQIN,,1.0,2439.0,SUR,2024-05-24,7027270,RU0009288658,Buryatzoloto ao,1-06-20577-F,2390.0,SUR,1,3,2024-05-28
BSPB,TQBR,БСП ао,368.6,10,1.0,A,Т+: Акции и ДР - безадрес.,2,"ПАО ""Банк ""Санкт-Петербург"" ао",,FNDT,EQIN,,0.01,369.86,SUR,2024-05-24,457544031,RU0009100945,BSP,10300436B,369.75,SUR,1,1,2024-05-28
BSPBP,TQBR,БСП ап,55.7,100,1.0,A,Т+: Акции и ДР - безадрес.,2,Банк Санкт-Петербург ап,,FNDT,EQIN,,0.05,55.9,SUR,2024-05-24,20100000,RU000A0JP0U9,BSP ap,20100436B,55.65,SUR,2,3,2024-05-28
CARM,TQBR,СТГ,2.129,100,1.0,A,Т+: Акции и ДР - безадрес.,4,СТГ ао,,FNDT,EQIN,,0.0005,2.157,SUR,2024-05-24,2203330301,RU000A105NV2,STG,1-01-03536-G,2.12,SUR,1,3,2024-05-28
CBOM,TQBR,МКБ ао,7.18,100,1.0,A,Т+: Акции и ДР - безадрес.,3,"""МКБ"" ПАО ао",,FNDT,EQIN,,0.001,7.23,SUR,2024-05-24,33429709866,RU000A0JUG31,MKB ao,10101978B,7.262,SUR,1,1,2024-05-28
CHGZ,TQBR,РН-ЗапСиб,145.2,10,0.1,A,Т+: Акции и ДР - безадрес.,1,РН-Западная Сибирь ПАО ао,,FNDT,EQIN,,0.2,143.2,SUR,2024-05-24,26771420,RU0009082291,RN-Western Siberia ao,1-01-00185-A,143.0,SUR,1,3,2024-05-28
CHKZ,TQBR,ЧКПЗ ао,28900.0,1,200.0,A,Т+: Акции и ДР - безадрес.,0,"""ЧКПЗ"" ПАО ао",,FNDT,EQIN,,50.0,29200.0,SUR,2024-05-24,600216,RU000A0JNST0,CKPZ,1-03-45058-D,28900.0,SUR,1,3,2024-05-28
CHMF,TQBR,СевСт-ао,1990.8,1,0.01,A,Т+: Акции и ДР - безадрес.,1,Северсталь (ПАО)ао,,FNDT,EQIN,,0.2,1985.2,SUR,2024-05-24,837718660,RU0009046510,Severstal - ao,1-02-00143-A,1980.0,SUR,1,1,2024-05-28
CHMK,TQBR,ЧМК ао,7770.0,1,1.0,A,Т+: Акции и ДР - безадрес.,0,"""ЧМК"" ПАО ао",,FNDT,EQIN,,5.0,7845.0,SUR,2024-05-24,3161965,RU0007665170,CMK,1-01-00080-A,7770.0,SUR,1,3,2024-05-28
CIAN,TQBR,CIAN-адр,933.0,1,0.0,A,Т+: Акции и ДР - безадрес.,1,АДР Cian PLC ORD SHS,,FNDT,EQIN,,0.2,950.0,SUR,2024-05-24,0,US83418T1088,ADR Cian PLC ORD SHS,,933.0,SUR,D,1,2024-05-28
CNTL,TQBR,Телеграф,16.44,100,1.0,A,Т+: Акции и ДР - безадрес.,2,"""Центральный Телеграф"" ПАО ао",,FNDT,EQIN,,0.02,16.86,SUR,2024-05-24,166167000,RU0007665147,Centrlnyi Telegraf,1-03-00327-A,16.44,SUR,1,3,2024-05-28
CNTLP,TQBR,Телеграф-п,11.08,100,1.0,A,Т+: Акции и ДР - безадрес.,2,"""Центральный Телеграф"" ПАО ап",,FNDT,EQIN,,0.02,11.18,SUR,2024-05-24,55389000,RU0007665139,Centrlnyi Telegraf ap,2-03-00327-A,11.08,SUR,2,3,2024-05-28
DELI,TQBR,Каршеринг,319.75,1,0.000625,A,Т+: Акции и ДР - безадрес.,2,Каршеринг Руссия ао,,FNDT,EQIN,,0.05,322.1,SUR,2024-05-24,175849057,RU000A107J11,Carsharing Russia,1-01-16750-A,319.75,SUR,1,2,2024-05-28
DIAS,TQBR,iДиасофт,6000.5,1,0.01,A,Т+: Акции и ДР - безадрес.,1,Диасофт ао,,FNDT,EQIN,,0.5,6014.0,SUR,2024-05-24,10500000,RU000A107ER5,Diasoft,1-01-84777-H,6000.5,SUR,1,2,2024-05-28
DIOD,TQBR,ЗаводДИОД,16.3,100,0.01,A,Т+: Акции и ДР - безадрес.,2,Завод ДИОД ПАО ао,,FNDT,EQIN,,0.01,16.31,SUR,2024-05-24,91500000,RU000A0JQWC1,Zavod DIOD ao,1-03-06923-A,16.3,SUR,1,3,2024-05-28
DVEC,TQBR,ДЭК ао,3.118,1000,1.0,A,Т+: Акции и ДР - безадрес.,3,"""ДЭК"" ПАО ао",,FNDT,EQIN,,0.001,3.165,SUR,2024-05-24,17223107804,RU000A0JP2W1,DEC,1-01-55275-E,3.118,SUR,1,3,2024-05-28
DZRD,TQBR,ДонскЗР,4880.0,1,1.0,A,Т+: Акции и ДР - безадрес.,0,Донской завод радиодеталей ао,,FNDT,EQIN,,5.0,4845.0,SUR,2024-05-24,343407,RU000A0JQW11,DZRD ao,1-01-02677-A,4890.0,SUR,1,3,2024-05-28
DZRDP,TQBR,ДонскЗР п,3420.0,1,1.0,A,Т+: Акции и ДР - безадрес.,0,Донской завод радиодеталей ап,,FNDT,EQIN,,10.0,3440.0,SUR,2024-05-24,114469,RU000A0JQW29,DZRD pref.,2-01-02677-A,3420.0,SUR,2,3,2024-05-28
