,SHORTNAME,SECID,MEDIAN,DISPERTION
0,АЛРОСА ао,ALRS,11737237,12969716000124
1,Телеграф-п,CNTLP,804356,248904184300
2,Телеграф,CNTL,936835,263196855163
3,ЕвроЭлтех,EELT,1113037,454030090011
4,AKMM ETF,AKMM,5213787,1484927366665
5,АстрЭнСб,ASSB,980063,438431177792
6,Аптеки36и6,APTK,3483703,2357666682503
7,Белон ао,BLNG,1152777,266665514315
8,БСП ао,BSPB,1647771,493076851409
9,МКБ ао,CBOM,7190527,7581212505186
10,ETLN-гдр,ETLN,639854,82934008638
11,Астра ао,ASTR,454410,71571187937
12,EQMX ETF,EQMX,447449,36351118071
13,AMNR ETF,AMNR,1728831,913442437532
14,ДВМП ао,FESH,3663557,2056896043957
15,СевСт-ао,CHMF,876369,79436363384
16,iГЕНЕТИКО,GECO,859145,209830177836
17,ЕвроТранс,EUTR,2381831,1090484698966
18,ДЭК ао,DVEC,6343502,8680331744593
19,FIXP-гдр,FIXP,600605,89330238234
20,Совкомфлот,FLOT,5245178,3216188984706
21,Арсагера,ARSA,542794,81987189913
