SECID,BOARDID,SHORTNAME,PREVPRICE,LOTSIZE,FACEVALUE,STATUS,BOARDNAME,DECIMALS,SECNAME,REMARKS,MARKETCODE,INSTRID,SECTORID,MINSTEP,PREVWAPRICE,FACEUNIT,PREVDATE,ISSUESIZE,ISIN,LATNAME,REGNUMBER,PREVLEGALCLOSEPRICE,CURRENCYID,SECTYPE,LISTLEVEL,SETTLEDATE
ABIO,TQBR,iАРТГЕН ао,103.1,10,0.1,A,Т+: Акции и ДР - безадрес.,2,"ПАО ""Артген""",,FNDT,EQIN,,0.02,102.92,SUR,2024-05-23,92645451,RU000A0JNAB6,ARTGEN ao,1-01-08902-A,103.04,SUR,1,2,2024-05-27
ABRD,TQBR,АбрауДюрсо,291.8,10,1.0,A,Т+: Акции и ДР - безадрес.,1,Абрау-Дюрсо ПАО ао,,FNDT,EQIN,,0.2,292.6,SUR,2024-05-23,98000184,RU000A0JS5T7,Abrau-Durso ao,1-02-12500-A,291.8,SUR,1,3,2024-05-27
ACKO,TQBR,АСКО ао,3.58,100,1.0,A,Т+: Акции и ДР - безадрес.,2,АСКО ПАО ао,,FNDT,EQIN,,0.02,3.64,SUR,2024-05-23,536000000,RU000A0JXS91,ASKO ao,1-01-52065-Z,3.58,SUR,1,3,2024-05-27
AFKS,TQBR,Система ао,28.764,100,0.09,A,Т+: Акции и ДР - безадрес.,3,"АФК ""Система"" ПАО ао",,FNDT,EQIN,,0.001,28.814,SUR,2024-05-23,9650000000,RU000A0DQZE3,AFK Sistema,1-05-01669-A,28.894,SUR,1,1,2024-05-27
AFLT,TQBR,Аэрофлот,57.71,10,1.0,A,Т+: Акции и ДР - безадрес.,2,Аэрофлот-росс.авиалин(ПАО)ао,,FNDT,EQIN,,0.01,57.78,SUR,2024-05-23,3975771215,RU0009062285,Aeroflot,1-01-00010-A,58.2,SUR,1,1,2024-05-27
AGRO,TQBR,AGRO-гдр,1459.4,1,0.0,A,Т+: Акции и ДР - безадрес.,1,ГДР ROS AGRO PLC ORD SHS,,FNDT,EQIN,,0.2,1463.4,USD,2024-05-23,0,US7496552057,GDR ROS AGRO PLC ORD SHS,,1469.0,SUR,D,1,2024-05-27
AKRN,TQBR,Акрон,16440.0,1,5.0,A,Т+: Акции и ДР - безадрес.,0,Акрон ПАО ао,,FNDT,EQIN,,2.0,16384.0,SUR,2024-05-23,36757156,RU0009028674,Acron,1-03-00207-A,16440.0,SUR,1,2,2024-05-27
ALRS,TQBR,АЛРОСА ао,81.21,10,0.5,A,Т+: Акции и ДР - безадрес.,2,АЛРОСА ПАО ао,,FNDT,EQIN,,0.01,81.25,SUR,2024-05-23,7364965630,RU0007252813,ALROSA ao,1-03-40046-N,81.61,SUR,1,1,2024-05-27
AMEZ,TQBR,АшинскийМЗ,64.9,100,1.0,A,Т+: Акции и ДР - безадрес.,2,Ашинский метзавод ПАО ао,,FNDT,EQIN,,0.02,66.16,SUR,2024-05-23,498454822,RU000A0B88G6,Ashinckiy metzavod PAO,1-03-45219-D,64.9,SUR,1,3,2024-05-27
APTK,TQBR,Аптеки36и6,12.85,10,0.64,A,Т+: Акции и ДР - безадрес.,3,"ПАО ""Аптечная сеть 36,6"" ао",,FNDT,EQIN,,0.002,13.048,SUR,2024-05-23,7630433826,RU0008081765,"Apteki 36,6",1-01-07335-A,12.85,SUR,1,2,2024-05-27
AQUA,TQBR,ИНАРКТИКА,889.5,1,100.0,A,Т+: Акции и ДР - безадрес.,1,ПАО ИНАРКТИКА,,FNDT,EQIN,,0.5,888.5,SUR,2024-05-23,87876649,RU000A0JQTS3,INARCTIKA,1-01-04461-D,891.0,SUR,1,1,2024-05-27
ARSA,TQBR,Арсагера,15.7,100,1.0,A,Т+: Акции и ДР - безадрес.,2,УК Арсагера ПАО-ао,,FNDT,EQIN,,0.01,15.48,SUR,2024-05-23,123817165,RU000A0JP0Q7,UK Arsagera,1-01-03163-D,15.7,SUR,1,3,2024-05-27
ASSB,TQBR,АстрЭнСб,2.965,1000,0.007,A,Т+: Акции и ДР - безадрес.,3,"""Астраханская ЭСК"" ПАО",,FNDT,EQIN,,0.005,2.985,SUR,2024-05-23,773900078,RU000A0D8MM8,Astrakhan Energo Sbyt,1-01-55064-E,2.965,SUR,1,3,2024-05-27
ASTR,TQBR,Астра ао,620.35,1,0.05,A,Т+: Акции и ДР - безадрес.,2,Группа Астра ао,,FNDT,EQIN,,0.05,620.25,SUR,2024-05-23,210000000,RU000A106T36,Astra Group,1-01-01286-G,620.55,SUR,1,2,2024-05-27
AVAN,TQBR,Авангрд-ао,939.0,1,10.0,A,Т+: Акции и ДР - безадрес.,0,"АКБ ""АВАНГАРД"" ПАО ао",,FNDT,EQIN,,1.0,935.0,SUR,2024-05-23,80700000,RU000A0DM7B3,"AKB ""AVANGARD""",10102879B,939.0,SUR,1,3,2024-05-27
BANE,TQBR,Башнефт ао,3062.0,1,1.0,A,Т+: Акции и ДР - безадрес.,1,Башнефть АНК ао,,FNDT,EQIN,,0.5,3080.5,SUR,2024-05-23,147846489,RU0007976957,Bashneft ANK ao,1-01-00013-A,3073.0,SUR,1,3,2024-05-27
BANEP,TQBR,Башнефт ап,2286.0,1,1.0,A,Т+: Акции и ДР - безадрес.,1,Башнефть АНК ап,,FNDT,EQIN,,0.5,2284.0,SUR,2024-05-23,29788012,RU0007976965,Bashneft ANK ap,2-01-00013-A,2280.5,SUR,2,3,2024-05-27
BELU,TQBR,НоваБев ао,5711.0,1,100.0,A,Т+: Акции и ДР - безадрес.,0,НоваБев Групп ПАО ао,,FNDT,EQIN,,1.0,5690.0,SUR,2024-05-23,15800000,RU000A0HL5M1,NovaBev Group ao,1-01-55052-E,5788.0,SUR,1,1,2024-05-27
BISVP,TQBR,БашИнСв ап,14.33,100,1.0,A,Т+: Акции и ДР - безадрес.,2,Башинформсвязь(ПАО) ап,,FNDT,EQIN,,0.01,14.26,SUR,2024-05-23,36165270,RU0009100176,BashInformSvyaz ap,2-01-00011-A,14.33,SUR,2,3,2024-05-27
BLNG,TQBR,Белон ао,27.585,100,0.01,A,Т+: Акции и ДР - безадрес.,3,Белон ОАО ао,,FNDT,EQIN,,0.005,27.8,SUR,2024-05-23,1150000000,RU000A0J2QG8,Belon ao,1-06-10167-F,27.585,SUR,1,3,2024-05-27
BRZL,TQBR,БурЗолото,2367.0,1,0.025,A,Т+: Акции и ДР - безадрес.,0,Бурятзолото ПАО ао,,FNDT,EQIN,,1.0,2385.0,SUR,2024-05-23,7027270,RU0009288658,Buryatzoloto ao,1-06-20577-F,2367.0,SUR,1,3,2024-05-27
BSPB,TQBR,БСП ао,370.52,10,1.0,A,Т+: Акции и ДР - безадрес.,2,"ПАО ""Банк ""Санкт-Петербург"" ао",,FNDT,EQIN,,0.01,367.09,SUR,2024-05-23,461879831,RU0009100945,BSP,10300436B,368.59,SUR,1,1,2024-05-27
BSPBP,TQBR,БСП ап,56.45,100,1.0,A,Т+: Акции и ДР - безадрес.,2,Банк Санкт-Петербург ап,,FNDT,EQIN,,0.05,57.0,SUR,2024-05-23,20100000,RU000A0JP0U9,BSP ap,20100436B,56.45,SUR,2,3,2024-05-27
CARM,TQBR,СТГ,2.2155,100,1.0,A,Т+: Акции и ДР - безадрес.,4,СТГ ао,,FNDT,EQIN,,0.0005,2.2125,SUR,2024-05-23,2203330301,RU000A105NV2,STG,1-01-03536-G,2.2155,SUR,1,3,2024-05-27
CBOM,TQBR,МКБ ао,7.228,100,1.0,A,Т+: Акции и ДР - безадрес.,3,"""МКБ"" ПАО ао",,FNDT,EQIN,,0.001,7.216,SUR,2024-05-23,33429709866,RU000A0JUG31,MKB ao,10101978B,7.273,SUR,1,1,2024-05-27
CHGZ,TQBR,РН-ЗапСиб,145.6,10,0.1,A,Т+: Акции и ДР - безадрес.,1,РН-Западная Сибирь ПАО ао,,FNDT,EQIN,,0.2,144.6,SUR,2024-05-23,26771420,RU0009082291,RN-Western Siberia ao,1-01-00185-A,145.6,SUR,1,3,2024-05-27
CHKZ,TQBR,ЧКПЗ ао,29500.0,1,200.0,A,Т+: Акции и ДР - безадрес.,0,"""ЧКПЗ"" ПАО ао",,FNDT,EQIN,,50.0,30350.0,SUR,2024-05-23,600216,RU000A0JNST0,CKPZ,1-03-45058-D,29500.0,SUR,1,3,2024-05-27
CHMF,TQBR,СевСт-ао,1997.6,1,0.01,A,Т+: Акции и ДР - безадрес.,1,Северсталь (ПАО)ао,,FNDT,EQIN,,0.2,1996.0,SUR,2024-05-23,837718660,RU0009046510,Severstal - ao,1-02-00143-A,2004.8,SUR,1,1,2024-05-27
CHMK,TQBR,ЧМК ао,7930.0,1,1.0,A,Т+: Акции и ДР - безадрес.,0,"""ЧМК"" ПАО ао",,FNDT,EQIN,,5.0,7965.0,SUR,2024-05-23,3161965,RU0007665170,CMK,1-01-00080-A,7930.0,SUR,1,3,2024-05-27
CIAN,TQBR,CIAN-адр,986.2,1,0.0,A,Т+: Акции и ДР - безадрес.,1,АДР Cian PLC ORD SHS,,FNDT,EQIN,,0.2,981.2,SUR,2024-05-23,0,US83418T1088,ADR Cian PLC ORD SHS,,986.2,SUR,D,1,2024-05-27
CNTL,TQBR,Телеграф,17.22,100,1.0,A,Т+: Акции и ДР - безадрес.,2,"""Центральный Телеграф"" ПАО ао",,FNDT,EQIN,,0.02,17.18,SUR,2024-05-23,166167000,RU0007665147,Centrlnyi Telegraf,1-03-00327-A,17.22,SUR,1,3,2024-05-27
CNTLP,TQBR,Телеграф-п,11.14,100,1.0,A,Т+: Акции и ДР - безадрес.,2,"""Центральный Телеграф"" ПАО ап",,FNDT,EQIN,,0.02,11.34,SUR,2024-05-23,55389000,RU0007665139,Centrlnyi Telegraf ap,2-03-00327-A,11.14,SUR,2,3,2024-05-27
DELI,TQBR,Каршеринг,322.05,1,0.000625,A,Т+: Акции и ДР - безадрес.,2,Каршеринг Руссия ао,,FNDT,EQIN,,0.05,323.9,SUR,2024-05-23,175849057,RU000A107J11,Carsharing Russia,1-01-16750-A,322.05,SUR,1,2,2024-05-27
DIAS,TQBR,iДиасофт,6119.0,1,0.01,A,Т+: Акции и ДР - безадрес.,1,Диасофт ао,,FNDT,EQIN,,0.5,6104.0,SUR,2024-05-23,10500000,RU000A107ER5,Diasoft,1-01-84777-H,6119.0,SUR,1,2,2024-05-27
DIOD,TQBR,ЗаводДИОД,17.09,100,0.01,A,Т+: Акции и ДР - безадрес.,2,Завод ДИОД ПАО ао,,FNDT,EQIN,,0.01,17.25,SUR,2024-05-23,91500000,RU000A0JQWC1,Zavod DIOD ao,1-03-06923-A,17.09,SUR,1,3,2024-05-27
