SECID,BOARDID,BID,BIDDEPTH,OFFER,OFFERDEPTH,SPREAD,BIDDEPTHT,OFFERDEPTHT,OPEN,LOW,HIGH,LAST,LASTCHANGE,LASTCHANGEPRCNT,QTY,VALUE,VALUE_USD,WAPRICE,LASTCNGTOLASTWAPRICE,WAPTOPREVWAPRICEPRCNT,WAPTOPREVWAPRICE,CLOSEPRICE,MARKETPRICETODAY,MARKETPRICE,LASTTOPREVPRICE,NUMTRADES,VOLTODAY,VALTODAY,VALTODAY_USD,ETFSETTLEPRICE,TRADINGSTATUS,UPDATETIME,LASTBID,LASTOFFER,LCLOSEPRICE,LCURRENTPRICE,MARKETPRICE2,NUMBIDS,NUMOFFERS,CHANGE,TIME,HIGHBID,LOWOFFER,PRICEMINUSPREVWAPRICE,OPENPERIODPRICE,SEQNUM,SYSTIME,CLOSINGAUCTIONPRICE,CLOSINGAUCTIONVOLUME,ISSUECAPITALIZATION,ISSUECAPITALIZATION_UPDATETIME,ETFSETTLECURRENCY,VALTODAY_RUR,TRADINGSESSION,TRENDISSUECAPITALIZATION
ABIO,TQBR,,,,,0,0,0,103.4,100.02,103.54,100.18,0,0,5,5009.0,55.84,101.04,0,-1.83,-1.88,,101.14,102.9,-2.83,2733,294170,29725359,331377,,N,23:50:05,,,100.4,100.22,101.14,,,-2.92,23:49:22,,,-2.74,101.0,20240526000501,2024-05-26 00:05:01,100.4,130.0,9281221281.18,23:49:22,,29725359,,0.0
ABRD,TQBR,,,,,0,0,0,294.6,278.0,294.6,286.0,0,0,3,8580.0,95.65,287.0,0,-1.91,-5.6,,287.0,292.6,-1.99,2499,225660,64767982,722030,,N,23:50:04,,,286.0,286.0,287.0,,,-5.8,18:47:20,,,-6.6,294.6,20240526000501,2024-05-26 00:05:01,286.0,250.0,28028052624.0,18:47:20,,64767982,,0.0
ACKO,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0.0,,0,0.0,0.0,,,,0.0,0,0,0,0,,C,23:50:04,,,3.58,3.58,,,,,23:50:04,,,,,20240526000501,2024-05-26 00:05:01,,,1918880000.0,00:00:00,,0,,0.0
AFKS,TQBR,,,,,0,0,0,28.765,27.51,28.952,27.655,0,0,63,174226.5,1942.27,28.074,0,-2.57,-0.74,,28.13,28.819,-3.86,45388,111376500,3126733977,34856671,,N,23:50:05,,,27.834,27.657,28.13,,,-1.109,23:49:56,,,-1.159,27.834,20240526000501,2024-05-26 00:05:01,27.834,104600.0,266870750000.0,23:49:56,,3126733977,,0.0
AFLT,TQBR,,,,,0,0,0,57.82,56.88,58.5,58.13,0,0,2,1162.6,12.96,57.79,0,0.02,0.01,,57.77,57.76,0.73,63202,32663100,1887674683,21043701,,N,23:50:05,,,57.99,58.21,57.77,,,0.42,23:49:57,,,0.35,57.96,20240526000501,2024-05-26 00:05:01,57.99,7160.0,231111580727.95,23:49:57,,1887674683,,0.0
AGRO,TQBR,,,,,0,0,0,1459.4,1416.4,1468.6,1419.4,0,0,2,2838.8,31.65,1432.4,0,-2.12,-31.0,,1434.4,1463.2,-2.74,7697,137826,197428434,2200922,,N,23:50:05,,,1433.0,1419.4,1434.4,,,-40.0,23:49:50,,,-44.0,1428.4,20240526000501,2024-05-26 00:05:01,1433.0,59.0,,,,197428434,,
AKRN,TQBR,,,,,0,0,0,16380.0,16284.0,16490.0,16290.0,0,0,2,32580.0,363.2,16354.0,0,-0.18,-30.0,,16354.0,16384.0,-0.91,1186,13687,223831376,2495261,,N,23:50:04,,,16290.0,16290.0,16354.0,,,-150.0,18:49:11,,,-94.0,16380.0,20240526000501,2024-05-26 00:05:01,16290.0,284.0,598774071240.0,18:49:11,,223831376,,0.0
ALRS,TQBR,,,,,0,0,0,81.21,79.1,81.49,80.05,0,0,5,4002.5,44.62,80.46,0,-0.97,-0.79,,80.49,81.22,-1.43,23280,14449620,1162639067,12961041,,N,23:50:05,,,80.79,80.11,80.49,,,-1.16,23:49:45,,,-1.2,80.74,20240526000501,2024-05-26 00:05:01,80.79,400100.0,589565498681.5,23:49:45,,1162639067,,0.0
AMEZ,TQBR,,,,,0,0,0,65.74,61.02,65.74,63.12,0,0,1,6312.0,70.37,62.44,0,-5.62,-3.72,,62.44,66.16,-2.74,1943,810400,50597958,564063,,N,23:50:04,,,63.12,63.08,62.44,,,-1.78,18:45:03,,,-3.04,,20240526000501,2024-05-26 00:05:01,63.12,500.0,31462468364.64,18:45:03,,50597958,,0.0
APTK,TQBR,,,,,0,0,0,12.95,12.5,13.02,12.578,0,0,2,251.56,2.8,12.728,0,-2.45,-0.32,,12.728,13.048,-2.12,7797,4635030,58998075,657708,,N,23:50:04,,,12.578,12.578,12.728,,,-0.272,18:49:24,,,-0.47,12.95,20240526000501,2024-05-26 00:05:01,12.578,8620.0,95975596663.43,18:49:24,,58998075,,0.0
AQUA,TQBR,,,,,0,0,0,892.5,870.0,895.0,874.0,0,0,26,22724.0,253.33,880.5,0,-0.9,-8.0,,881.0,888.0,-1.74,10606,148474,130697097,1457005,,N,23:50:05,,,879.0,875.5,881.0,,,-15.5,23:49:31,,,-14.5,879.5,20240526000501,2024-05-26 00:05:01,879.0,362.0,76804191226.0,23:49:31,,130697097,,0.0
ARSA,TQBR,,,,,0,0,0,15.8,15.03,15.83,15.31,0,0,1,1531.0,17.07,15.41,0,-0.45,-0.07,,15.41,15.48,-2.48,436,250200,3855664,42983,,N,23:50:04,,,15.31,15.31,15.41,,,-0.39,18:48:30,,,-0.17,,20240526000501,2024-05-26 00:05:01,15.31,100.0,1895640796.15,18:48:30,,3855664,,0.0
ASSB,TQBR,,,,,0,0,0,2.95,2.83,2.95,2.83,0,0,13,36790.0,410.13,2.875,0,-3.69,-0.11,,2.875,2.985,-4.55,538,1716000,4930505,54965,,N,23:50:04,,,2.83,2.835,2.875,,,-0.135,18:45:51,,,-0.155,,20240526000501,2024-05-26 00:05:01,2.83,1000.0,2190137220.74,18:45:51,,4930505,,0.0
ASTR,TQBR,,,,,0,0,0,620.55,611.0,622.75,612.0,0,0,113,69156.0,770.95,615.7,0,-0.73,-4.55,,616.15,620.1,-1.35,16468,555722,342164612,3814434,,N,23:50:05,,,616.0,612.05,616.15,,,-8.35,23:49:31,,,-8.25,616.0,20240526000501,2024-05-26 00:05:01,616.0,799.0,128520000000.0,23:49:31,,342164612,,0.0
AVAN,TQBR,,,,,0,0,0,939.0,908.0,949.0,919.0,0,0,1,919.0,10.24,929.0,0,-0.64,-6.0,,929.0,935.0,-2.13,1067,9463,8789829,97989,,N,23:50:04,,,919.0,919.0,929.0,,,-20.0,18:48:17,,,-16.0,,20240526000501,2024-05-26 00:05:01,919.0,17.0,74163300000.0,18:48:17,,8789829,,0.0
BANE,TQBR,,,,,0,0,0,3087.0,2980.0,3095.0,3051.5,0,0,1,3051.5,34.02,3036.5,0,-1.43,-44.0,,3037.0,3082.5,-0.34,8304,85689,260174268,2900409,,N,23:50:05,,,3033.5,3047.5,3037.0,,,-10.5,23:49:42,,,-29.0,3033.5,20240526000501,2024-05-26 00:05:01,3033.5,16.0,451153561183.5,23:49:42,,260174268,,0.0
